"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
4597, 5.747237528817146e-01, -4.718591351448858e-02, 7.935921094871525e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.576185022706845e+00, 0.000000000000000e+00, 6.304740090827380e-01, 1.112238393204592e+00, 0.000000000000000e+00, -2.619115787593010e-01, 4.353339104615948e-08, 2.273335472873949e-03, 1.835037946573217e-04, -3.100428937013350e+03, 6.648486768490379e+00, 0.000000000000000e+00
4718, 5.876499372157328e-01, -4.614251103208520e-02, 8.046569646071916e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.597103074447216e+00, 0.000000000000000e+00, 6.388412297788862e-01, 1.111501871020340e+00, 0.000000000000000e+00, -2.357640140838377e-01, 4.351129007012570e-08, 2.262821002705780e-03, 1.826550659071234e-04, -3.082510936588609e+03, 6.702201556573668e+00, 0.000000000000000e+00
4839, 6.005761215497509e-01, -4.509910854968181e-02, 8.092159651847519e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.604650340441160e+00, 0.000000000000000e+00, 6.418601361764638e-01, 1.110462755689563e+00, 0.000000000000000e+00, -2.263299315914080e-01, 4.348009695033305e-08, 2.337876699967974e-03, 1.908847509042537e-04, -3.330660373438803e+03, 6.855829972043527e+00, 0.000000000000000e+00
4960, 6.135003585538696e-01, -4.403185599284902e-02, 8.389842080576305e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.661893843654615e+00, 0.000000000000000e+00, 6.647575374618457e-01, 1.109270643605078e+00, 0.000000000000000e+00, -1.547755525745893e-01, 4.344429347380862e-08, 2.549671087196658e-03, 2.197194942943695e-04, -4.066060848793481e+03, 7.315875759008156e+00, 0.000000000000000e+00
5081, 6.264166400368896e-01, -4.287228577132065e-02, 8.297447278307878e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.643288963521447e+00, 0.000000000000000e+00, 6.573155854085787e-01, 1.109066184702143e+00, 0.000000000000000e+00, -1.780316527410488e-01, 4.343815094009307e-08, 2.186778024145544e-03, 1.963198681621610e-04, -2.944991191296555e+03, 6.757841412354199e+00, 0.000000000000000e+00
5202, 6.393329215095430e-01, -4.171271555072293e-02, 8.345193845356058e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.652106305675083e+00, 0.000000000000000e+00, 6.608425222700330e-01, 1.108637556325778e+00, 0.000000000000000e+00, -1.670099750490040e-01, 4.342527191625733e-08, 2.193443479219302e-03, 1.969182650944842e-04, -2.980418903084928e+03, 6.808587899377238e+00, 0.000000000000000e+00
5323, 6.522492029821962e-01, -4.055314533012524e-02, 8.349754176393340e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.652918294974496e+00, 0.000000000000000e+00, 6.611673179897983e-01, 1.108576642654579e+00, 0.000000000000000e+00, -1.659949884247374e-01, 4.342344144213025e-08, 2.133761938622596e-03, 1.915603037228707e-04, -2.826793607726018e+03, 6.733660598917045e+00, 0.000000000000000e+00
5444, 6.651654844548496e-01, -3.939357510952754e-02, 8.483043753475974e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.678359238294558e+00, 0.000000000000000e+00, 6.713436953178231e-01, 1.107952759361675e+00, 0.000000000000000e+00, -1.341938092746600e-01, 4.340469073507826e-08, 2.457478096225369e-03, 2.300453422643720e-04, -3.848636058552693e+03, 7.305644709710168e+00, 0.000000000000000e+00
5565, 6.780725739528833e-01, -3.813581098134872e-02, 8.664231246650972e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.715077320059669e+00, 0.000000000000000e+00, 6.860309280238674e-01, 1.108515310697252e+00, 0.000000000000000e+00, -8.829620706827143e-02, 4.342159834878520e-08, 2.142271753218146e-03, 2.095613135155771e-04, -2.905350706135733e+03, 6.909666982301197e+00, 0.000000000000000e+00
5686, 6.909787268339076e-01, -3.686847204035566e-02, 8.641042155916500e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.710567559661468e+00, 0.000000000000000e+00, 6.842270238645870e-01, 1.108567480780704e+00, 0.000000000000000e+00, -9.393340756602282e-02, 4.342316612082002e-08, 2.088419785631951e-03, 2.050754972353681e-04, -2.782488428835406e+03, 6.830642370436982e+00, 0.000000000000000e+00
5807, 7.038848797148387e-01, -3.560113309937175e-02, 8.749256186625102e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.731903440885449e+00, 0.000000000000000e+00, 6.927613763541797e-01, 1.108512433752341e+00, 0.000000000000000e+00, -6.726355603604574e-02, 4.342151189217762e-08, 2.047294765320212e-03, 2.010371644982118e-04, -2.692575249946826e+03, 6.820027896334885e+00, 0.000000000000000e+00
5928, 7.167910325957699e-01, -3.433379415838784e-02, 8.424789448489711e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.666520324230226e+00, 0.000000000000000e+00, 6.666081296920905e-01, 1.107744457324364e+00, 0.000000000000000e+00, -1.489924518550744e-01, 4.339842910527791e-08, 2.233334641262108e-03, 2.246656716979231e-04, -3.233797637337383e+03, 7.010217463549679e+00, 0.000000000000000e+00
6049, 7.296910159523652e-01, -3.300512584429440e-02, 8.747410036100818e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.730071718421675e+00, 0.000000000000000e+00, 6.920286873686698e-01, 1.107573737046401e+00, 0.000000000000000e+00, -6.955320911576393e-02, 4.339329676749880e-08, 2.155396140089423e-03, 2.252142238621691e-04, -3.015033330095946e+03, 7.036567976832407e+00, 0.000000000000000e+00
6170, 7.425870236133176e-01, -3.163840838325534e-02, 8.700691236875254e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.721412823215937e+00, 0.000000000000000e+00, 6.885651292863746e-01, 1.107947810991544e+00, 0.000000000000000e+00, -8.037682812293662e-02, 4.340454199205711e-08, 1.964145590648583e-03, 2.081599317663593e-04, -2.484781119788279e+03, 6.712723991236360e+00, 0.000000000000000e+00
6291, 7.554830312730296e-01, -3.027169092234774e-02, 8.728864040087509e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.726993770089623e+00, 0.000000000000000e+00, 6.907975080358489e-01, 1.107952314079683e+00, 0.000000000000000e+00, -7.340064453082927e-02, 4.340467735036343e-08, 1.924515219076315e-03, 2.039599093842952e-04, -2.390016359772225e+03, 6.668863881135530e+00, 0.000000000000000e+00
6412, 7.683790389327417e-01, -2.890497346144013e-02, 8.807155806228339e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.742182991210495e+00, 0.000000000000000e+00, 6.968731964841980e-01, 1.107761116690959e+00, 0.000000000000000e+00, -5.441411812973849e-02, 4.339892991261651e-08, 2.015352548184909e-03, 2.164913979206053e-04, -2.658355317694810e+03, 6.871206681486568e+00, 0.000000000000000e+00
6533, 7.812710990997053e-01, -2.750150817764803e-02, 8.820903500091034e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.744604845662197e+00, 0.000000000000000e+00, 6.978419382648786e-01, 1.107572159201999e+00, 0.000000000000000e+00, -5.138680006511153e-02, 4.339324933120216e-08, 2.130884482307192e-03, 2.384192900304912e-04, -3.023161937453510e+03, 7.089829994718733e+00, 0.000000000000000e+00
6654, 7.941545410989657e-01, -2.602101753718623e-02, 8.854624496351623e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.752178910110558e+00, 0.000000000000000e+00, 7.008715640442229e-01, 1.108144326240153e+00, 0.000000000000000e+00, -4.191921950466062e-02, 4.341044879329409e-08, 1.844864226125445e-03, 2.120011267065392e-04, -2.228695546526322e+03, 6.619980022821311e+00, 0.000000000000000e+00
6775, 8.070379830941085e-01, -2.454052689719760e-02, 8.947217039731229e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.770646344838917e+00, 0.000000000000000e+00, 7.082585379355667e-01, 1.108235050861781e+00, 0.000000000000000e+00, -1.883492609421126e-02, 4.341317559652788e-08, 1.848609585390856e-03, 2.124315217312446e-04, -2.246762807754482e+03, 6.673736396151926e+00, 0.000000000000000e+00
6896, 8.199214250892513e-01, -2.306003625720896e-02, 9.023231868197169e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.785880402008047e+00, 0.000000000000000e+00, 7.143521608032184e-01, 1.108353458863651e+00, 0.000000000000000e+00, 2.076453672002904e-04, 4.341673428269948e-08, 1.823333877400421e-03, 2.095269835563541e-04, -2.201734120994272e+03, 6.669291963265978e+00, 0.000000000000000e+00
7017, 8.328048670843941e-01, -2.157954561722034e-02, 9.046651635236452e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.790784434906475e+00, 0.000000000000000e+00, 7.163137739625900e-01, 1.108519841353894e+00, 0.000000000000000e+00, 6.337686490236542e-03, 4.342173450174489e-08, 1.770706711694948e-03, 2.034793740537453e-04, -2.081158595321430e+03, 6.592638024217859e+00, 0.000000000000000e+00
7138, 8.456883090795368e-01, -2.009905497723171e-02, 9.207494647493732e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.822804801876330e+00, 0.000000000000000e+00, 7.291219207505318e-01, 1.108630228016040e+00, 0.000000000000000e+00, 4.636314520255481e-02, 4.342505170094462e-08, 1.805235360625804e-03, 2.096148643563053e-04, -2.199190405110149e+03, 6.726914623839230e+00, 0.000000000000000e+00
7259, 8.585682062828728e-01, -1.858803605052179e-02, 9.112724394132077e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.803584273135295e+00, 0.000000000000000e+00, 7.214337092541178e-01, 1.108348227458887e+00, 0.000000000000000e+00, 2.233748427626081e-02, 4.341657705967710e-08, 1.973888760821222e-03, 2.402631353534683e-04, -2.679701408985492e+03, 7.014433779494533e+00, 0.000000000000000e+00
7380, 8.714344943842884e-01, -1.696521110138055e-02, 9.215627614935267e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.825180460451247e+00, 0.000000000000000e+00, 7.300721841804988e-01, 1.109095441526125e+00, 0.000000000000000e+00, 4.933271842120155e-02, 4.343902993314877e-08, 1.624185467206298e-03, 2.048585168806372e-04, -1.781012707197694e+03, 6.409785810097833e+00, 0.000000000000000e+00
7501, 8.843007824800854e-01, -1.534238615294802e-02, 9.289537964955699e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.840050518218111e+00, 0.000000000000000e+00, 7.360202072872440e-01, 1.109235243011417e+00, 0.000000000000000e+00, 6.792029062978046e-02, 4.344322997768125e-08, 1.613149105009026e-03, 2.034665004901799e-04, -1.761546429291684e+03, 6.422634796277704e+00, 0.000000000000000e+00
7622, 8.971670705758824e-01, -1.371956120451546e-02, 9.359532432973521e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.854289845891635e+00, 0.000000000000000e+00, 7.417159383566539e-01, 1.109459602961614e+00, 0.000000000000000e+00, 8.571945022168641e-02, 4.344996986518336e-08, 1.576236065921527e-03, 1.988106587813937e-04, -1.689494999323596e+03, 6.382142744840164e+00, 0.000000000000000e+00
7743, 9.100333586716793e-01, -1.209673625608294e-02, 9.423874702982173e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.867574366299981e+00, 0.000000000000000e+00, 7.470297465199922e-01, 1.109778809768166e+00, 0.000000000000000e+00, 1.023251007321185e-01, 4.345955785411087e-08, 1.511997432921859e-03, 1.907082398468208e-04, -1.558311350240965e+03, 6.282027151937929e+00, 0.000000000000000e+00
7864, 9.228996467674765e-01, -1.047391130765037e-02, 9.446532557842601e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.872634410279213e+00, 0.000000000000000e+00, 7.490537641116851e-01, 1.110116609809108e+00, 0.000000000000000e+00, 1.086501557061588e-01, 4.346970286037746e-08, 1.446447628170811e-03, 1.830174571945287e-04, -1.429990032105383e+03, 6.159934997781996e+00, 0.000000000000000e+00
