"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          50,      -4.534475725,      -4.882502985,      -4.928396166,      -4.179945347,      -10.94939371,     0.08033896993,      0.1912732891,                 0,                 0,                 0,     0.07712732622,     0.07361468807,      0.1939605602,                 0,       2.380828249,     0.01113249368
          0,           0,          51,      -4.530917311,      -4.883930322,      -4.927015023,      -4.177297791,      -10.93288709,     0.08018717899,      0.1934805585,                 0,                 0,                 0,     0.07767620645,     0.07338595702,      0.1961611876,                 0,       2.412861519,     0.01113249368
          0,           0,          52,      -4.527542865,      -4.888066232,       -4.92572776,       -4.17480662,      -10.91012417,      0.0803182921,      0.1956696759,                 0,                 0,                 0,     0.07830193759,     0.07344059116,      0.1983535472,                 0,       2.436178245,     0.01113249368
          0,           0,          53,      -4.524509392,      -4.891573606,      -4.924301634,      -4.172829691,       -10.8931961,     0.08064352384,      0.1977736124,                 0,                 0,                 0,     0.07899126121,     0.07369219844,      0.2004675525,                 0,        2.45244259,     0.01113249368
          0,           0,          54,      -4.521430616,      -4.895534803,      -4.922915126,      -4.170790154,      -10.87931105,     0.08110857493,      0.1998398594,                 0,                 0,                 0,     0.07975260737,     0.07408485526,      0.2025487708,                 0,       2.463856129,     0.01113249368
          0,           0,          55,      -4.518563229,      -4.898160265,      -4.921584912,      -4.168905868,      -10.85946594,     0.08166023673,      0.2019102274,                 0,                 0,                 0,     0.08061475682,      0.0745639262,      0.2046371303,                 0,       2.472564807,     0.01113249368
          0,           0,          56,      -4.515808212,      -4.903540289,       -4.92056368,      -4.167091998,      -10.84206276,     0.08223515585,      0.2039612318,                 0,                 0,                 0,     0.08155422454,     0.07506691607,      0.2067069497,                 0,       2.480219436,     0.01113249368
          0,           0,          57,      -4.513038548,      -4.909490762,      -4.919874063,      -4.165492739,      -10.83000484,     0.08277760466,      0.2060323067,                 0,                 0,                 0,     0.08257618371,     0.07553675497,      0.2087956942,                 0,       2.488986092,     0.01113249368
          0,           0,          58,      -4.510336281,      -4.911193735,      -4.919240806,      -4.163760136,      -10.81460988,     0.08324876189,      0.2080714481,                 0,                 0,                 0,     0.08363129061,     0.07593646018,      0.2108500365,                 0,       2.499393905,     0.01113249368
          0,           0,          59,      -4.507826142,      -4.915405023,      -4.919112203,       -4.16207096,      -10.79707474,     0.08361779522,      0.2101478591,                 0,                 0,                 0,     0.08476305957,       0.076232803,      0.2129380617,                 0,       2.513195409,     0.01113249368
          0,           0,          60,       -4.50535051,      -4.920412285,      -4.919165789,      -4.160751781,      -10.78562642,     0.08385346952,      0.2122624405,                 0,                 0,                 0,     0.08595306302,     0.07639453591,      0.2150595798,                 0,       2.531349528,     0.01113249368
          0,           0,          61,       -4.50291078,      -4.917710947,      -4.919285271,      -4.158961948,      -10.77578228,     0.08393386945,      0.2143647082,                 0,                 0,                 0,     0.08714896992,     0.07640151877,      0.2171633728,                 0,       2.553971474,     0.01113249368
          0,           0,          62,      -4.500799642,      -4.922960484,      -4.919776695,       -4.15774142,       -10.7631339,     0.08384446577,       0.216465931,                 0,                 0,                 0,     0.08835176634,     0.07623883794,      0.2192601955,                 0,       2.581755743,     0.01113249368
          0,           0,          63,      -4.498747606,      -4.924391821,      -4.920048498,      -4.156689414,      -10.75331867,     0.08358042263,      0.2185982133,                 0,                 0,                 0,     0.08957925782,     0.07590054007,      0.2213819638,                 0,       2.615423641,     0.01113249368
          0,           0,          64,      -4.496819167,      -4.922409026,      -4.920551448,      -4.155217665,      -10.74770467,     0.08314083746,      0.2207433158,                 0,                 0,                 0,     0.09080801229,     0.07538635969,      0.2235104183,                 0,        2.65505283,     0.01113249368
          0,           0,          65,      -4.495171943,      -4.928033389,      -4.920875198,      -4.154693402,       -10.7415493,     0.08253208144,      0.2229075035,                 0,                 0,                 0,     0.09203880915,     0.07470244544,      0.2256520424,                 0,       2.700858862,     0.01113249368
          0,           0,          66,      -4.493450003,      -4.925996346,      -4.921305225,      -4.153439643,      -10.73258825,     0.08176120726,      0.2250586727,                 0,                 0,                 0,     0.09324053876,     0.07385696614,       0.227774998,                 0,       2.752633923,     0.01113249368
          0,           0,          67,      -4.492319467,      -4.932630041,      -4.921653816,      -4.153359177,      -10.72462959,     0.08083584101,        0.22715924,                 0,                 0,                 0,     0.09438042277,     0.07285885486,      0.2298419909,                 0,       2.810130224,     0.01113249368
